sentence,correct,wrong,sin s,plu s,structure,prediction,accuracy,correct_prob,wrong_prob,top predict,top 5 predict,top 5 prob,top is correct,top is wrong,correct in top 5,wrong in top 5
The scientist who was conducting experiments in several institutions [MASK] awarded a prestigious prize.,was,were,1,0,ving/p.p.,correct,1,tensor(0.9442),tensor(0.0095),was,"['was', 'is', 'were', 'got', 'gets']","[tensor(0.9442), tensor(0.0368), tensor(0.0095), tensor(0.0044), tensor(0.0015)]",1,0,1,1
The scientists who were conducting experiments in a institution [MASK] awarded a prestigious prize.,were,was,0,1,ving/p.p.,correct,1,tensor(0.8917),tensor(0.0570),were,"['were', 'was', 'are', 'got', 'is']","[tensor(0.8917), tensor(0.0570), tensor(0.0374), tensor(0.0059), tensor(0.0016)]",1,0,1,1
The bartender who was mixing cocktails for the patrons [MASK] near the bar counter.,was,were,1,0,ving/prep.,correct,1,tensor(0.2694),tensor(0.0023),stood,"['stood', 'was', 'sat', 'stopped', 'waited']","[tensor(0.4454), tensor(0.2694), tensor(0.0867), tensor(0.0492), tensor(0.0280)]",0,0,1,0
The bartenders who were mixing cocktails for a patron [MASK] near the bar counter.,were,was,0,1,ving/prep.,correct,1,tensor(0.2167),tensor(0.0081),stood,"['stood', 'were', 'sat', 'waited', 'stopped']","[tensor(0.3326), tensor(0.2167), tensor(0.0996), tensor(0.0806), tensor(0.0455)]",0,0,1,0
The politician who was accused of several crimes [MASK] on the news.,was,were,1,0,p.p./prep.,correct,1,tensor(0.4996),tensor(0.0061),was,"['was', 'appeared', 'went', 'is', 'died']","[tensor(0.4996), tensor(0.1127), tensor(0.0911), tensor(0.0522), tensor(0.0419)]",1,0,1,0
The politicians who were accused of a crime [MASK] on the news.,were,was,0,1,p.p./prep.,correct,1,tensor(0.6335),tensor(0.0119),were,"['were', 'went', 'appeared', 'are', 'got']","[tensor(0.6335), tensor(0.1165), tensor(0.0401), tensor(0.0369), tensor(0.0220)]",1,0,1,0
The man who was fixing the car for neighbors [MASK] an engineer.,was,were,1,0,ving/N,correct,1,tensor(0.9475),tensor(0.0005),was,"['was', 'is', ',', 'and', 'had']","[tensor(0.9475), tensor(0.0300), tensor(0.0069), tensor(0.0019), tensor(0.0018)]",1,0,1,0
The men who were fixing the car for their neighbor [MASK] an engineers.,were,was,0,1,ving/N,correct,1,tensor(0.7263),tensor(0.0165),were,"['were', 'had', 'hired', 'needed', 'are']","[tensor(0.7263), tensor(0.0584), tensor(0.0328), tensor(0.0211), tensor(0.0195)]",1,0,1,0
The musician who was celebrated by audiences [MASK] a virtuoso.,was,were,1,0,p.p./N,correct,1,tensor(0.4061),tensor(0.0002),as,"['as', 'was', 'became', 'is', ',']","[tensor(0.5225), tensor(0.4061), tensor(0.0262), tensor(0.0253), tensor(0.0026)]",0,0,1,0
The musicians who were celebrated by the audience [MASK] virtuosos.,were,was,0,1,p.p./N,correct,1,tensor(0.9260),tensor(0.0020),were,"['were', 'are', 'became', 'included', 'was']","[tensor(0.9260), tensor(0.0255), tensor(0.0184), tensor(0.0165), tensor(0.0020)]",1,0,1,1
The researcher who was making headlines [MASK] a Nobel laureate.,was,were,1,0,prep./N,correct,1,tensor(0.9198),tensor(0.0003),was,"['was', 'became', 'is', 'as', ',']","[tensor(0.9198), tensor(0.0237), tensor(0.0139), tensor(0.0113), tensor(0.0087)]",1,0,1,0
The researchers who were making the headline [MASK] Nobel laureates.,were,was,0,1,prep./N,correct,1,tensor(0.9390),tensor(0.0019),were,"['were', 'included', 'had', 'became', 'are']","[tensor(0.9390), tensor(0.0260), tensor(0.0057), tensor(0.0044), tensor(0.0031)]",1,0,1,0
The student who forgot the assignments [MASK] a procrastinator.,was,were,1,0,v/N,correct,1,tensor(0.4638),tensor(0.0010),was,"['was', 'became', 'is', 'becomes', 'become']","[tensor(0.4638), tensor(0.3465), tensor(0.1024), tensor(0.0379), tensor(0.0057)]",1,0,1,0
