Condition,A.1,A.2,A.3,TotalAuto,I.1,I.2,I.3,I.4,I.5,I.6,I.7,I.8,I.9,I.10,I.11,I.12,I.13,I.14,I.15,I.16,I.17,I.18,I.19,I.20,I.21,I.22,I.23,I.24,I.25,I.26,I.27,I.28,I.29,I.30,I.31,TotalImm,CI,EI,RWD,Ch,Ctrl
2,4,3,4,3.666666667,3,5,4,4,4,1,4,2,2,2,4,4,4,5,4,4,4,1,4,5,4,4,4,5,5,4,4,4,5,4,5,3.806451613,4.222222222,4.333333333,3.142857143,3.5,3
1,4,3,4,3.666666667,2,2,2,3,2,5,1,3,2,2,2,1,2,1,2,4,4,2,2,4,2,1,2,2,4,1,2,4,4,2,3,2.419354839,2.444444444,2.166666667,2.142857143,2.75,2.4
1,5,5,5,5,5,5,5,5,5,1,5,1,1,1,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,4.225806452,5,5,3.285714286,3,3.4
2,2,3,2,2.333333333,4,4,3,5,4,1,3,3,2,3,4,3,3,2,3,4,4,1,4,2,3,4,5,4,5,4,5,5,5,3,4,3.516129032,4.111111111,4,2.571428571,2.75,3
1,2,2,3,2.333333333,4,4,5,5,2,2,3,3,2,3,4,3,4,4,2,5,5,4,4,4,2,5,3,4,5,4,4,5,5,4,5,3.806451613,4.333333333,4,2.714285714,4.25,3.6
1,5,5,5,5,5,5,5,5,5,1,5,1,1,1,4,5,4,4,4,5,5,2,5,1,5,5,5,5,5,5,4,4,4,4,4,3.967741935,4.888888889,4.333333333,3.142857143,3.25,3.2
2,4,4,4,4,4,4,4,4,4,2,4,2,2,2,4,4,4,4,4,5,4,2,3,2,4,4,5,5,5,4,4,4,4,4,4,3.709677419,4,4.333333333,3.142857143,3,3.4
1,5,5,5,5,3,4,3,4,2,3,3,2,4,2,3,4,3,4,3,4,4,3,4,1,4,3,4,4,3,4,3,4,3,4,3,3.290322581,3.444444444,3.5,3.142857143,3,3
2,4,3,3,3.333333333,4,3,4,3,4,3,3,3,3,2,4,3,4,3,2,4,3,3,4,3,3,2,4,2,4,3,3,4,2,4,3,3.193548387,3.222222222,3.333333333,3.142857143,3,3
1,4,4,3,3.666666667,5,5,5,5,5,5,2,4,4,5,5,5,4,5,4,1,5,1,5,4,3,3,4,5,5,4,2,2,5,1,4,3.935483871,4.555555556,3.333333333,4.285714286,3.5,3.2
1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,5,4,5,4.666666667,4,4,4,5,3,3,4,2,2,4,5,4,4,3,4,5,4,5,4,2,4,5,4,4,4,5,5,4,4,4,5,3.967741935,4.222222222,4.333333333,3,4,4.6
1,5,5,5,5,4,4,5,5,3,3,2,2,2,5,4,3,4,3,3,5,4,5,4,2,4,4,4,4,5,5,5,4,5,4,5,3.903225806,4.444444444,4.333333333,2.571428571,4,4.4
2,4,4,4,4,3,4,4,5,4,2,4,3,2,2,3,4,4,4,4,4,3,2,4,3,4,4,4,4,4,4,4,5,4,4,4,3.64516129,4,4,3.285714286,3,3
1,4,4,5,4.333333333,4,4,4,4,3,2,3,3,3,4,4,2,4,4,3,5,4,5,4,2,4,4,4,4,5,5,5,4,5,4,5,3.870967742,4.222222222,4.333333333,2.857142857,4,4.2
1,4,4,5,4.333333333,3,3,4,4,3,1,4,3,4,2,5,4,5,3,4,5,3,1,5,2,4,5,3,5,4,4,3,5,4,5,4,3.677419355,4,4.166666667,3.142857143,2.5,3.4
1,5,5,5,5,4,4,5,4,4,2,4,2,3,2,4,2,4,3,2,5,2,5,4,1,5,5,2,5,5,1,5,5,5,2,5,3.580645161,4.555555556,3.833333333,2.857142857,2.25,3.6
1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,4,5,5,4,4,4,1,4,5,5,4,5,2,3,3,4,5,5,4.290322581,4.666666667,4.5,4.285714286,2.75,4.8
1,4,5,5,4.666666667,4,5,5,5,4,4,3,3,3,5,4,3,4,4,4,5,4,5,4,2,4,5,4,5,4,5,5,4,4,5,5,4.193548387,4.444444444,4.666666667,3.428571429,4,4.6
1,5,5,5,5,4,5,5,5,3,4,2,3,2,5,4,3,4,5,5,5,4,5,5,2,4,4,4,4,4,4,5,4,4,4,5,4.064516129,4.444444444,4.333333333,3.142857143,3.75,4.8
1,5,5,5,5,5,5,5,5,3,3,4,3,2,4,4,4,4,4,4,5,4,4,4,2,4,4,4,4,4,4,5,4,4,4,5,4,4.444444444,4.333333333,3.285714286,3.5,4.2
1,5,5,5,5,5,5,5,5,4,2,3,3,2,2,5,3,5,4,3,5,4,4,5,2,4,5,5,5,5,4,3,5,5,4,5,4.064516129,4.888888889,4.5,3,3.5,3.8
1,4,5,4,4.333333333,5,4,4,5,4,3,3,4,4,4,4,3,4,4,3,5,2,5,4,2,3,5,4,4,5,3,5,5,5,4,5,4,4.444444444,4.333333333,3.571428571,3,4.2
1,5,5,5,5,4,4,5,4,4,2,3,4,3,5,4,3,4,4,5,5,4,5,5,2,4,5,5,5,5,5,5,4,5,5,5,4.258064516,4.555555556,4.833333333,3.285714286,4,4.8
1,5,5,5,5,2,2,5,5,4,1,4,2,2,2,4,4,4,4,4,4,5,1,3,3,3,4,5,4,3,4,4,5,4,4,4,3.516129032,3.444444444,4.166666667,3,3.25,3
2,2,3,1,2,4,4,5,4,4,2,3,2,3,2,4,3,3,3,4,3,3,3,4,3,4,3,4,4,3,4,4,3,4,3,4,3.419354839,3.888888889,3.666666667,2.857142857,3.25,3.2
1,5,5,5,5,5,5,5,5,5,1,5,1,1,1,4,4,5,5,5,5,5,1,5,2,5,5,4,5,4,4,5,3,3,4,5,3.935483871,4.666666667,4.666666667,3.142857143,3,3.2
1,4,4,4,4,4,4,3,5,2,2,1,3,2,2,4,1,3,1,4,4,4,5,4,1,4,4,1,4,4,1,2,4,3,2,2,2.903225806,3.888888889,2.333333333,1.714285714,2.75,3.8
2,4,4,4,4,5,5,5,5,4,2,4,3,2,2,4,5,4,5,4,4,3,2,3,3,5,5,5,5,5,4,4,5,5,5,4,4.064516129,4.777777778,4.5,3.571428571,3,3.2
1,4,4,4,4,5,5,3,5,4,3,3,4,4,4,4,5,4,5,4,5,1,5,4,1,2,5,3,4,5,2,3,4,4,3,4,3.774193548,4.222222222,3.5,4,2.25,4.4
1,4,4,5,4.333333333,4,5,5,5,4,2,4,2,2,2,4,4,3,5,4,3,4,2,3,5,3,4,3,4,5,4,3,4,5,4,5,3.741935484,4.333333333,3.666666667,3.285714286,3.75,3
2,2,3,2,2.333333333,2,2,2,2,2,4,2,4,4,2,2,2,2,2,4,4,4,2,2,4,2,2,2,2,4,2,2,4,4,2,2,2.64516129,2.444444444,2,2.857142857,3,2.8
2,4,3,4,3.666666667,3,4,5,3,4,1,5,2,1,2,5,5,4,4,5,5,5,1,3,2,5,4,4,5,4,4,4,5,5,5,5,3.838709677,4,4.5,3.142857143,3,3.6
1,5,5,5,5,5,5,4,5,4,3,3,2,1,2,5,4,4,4,4,5,5,4,5,3,3,4,5,4,5,4,3,5,5,3,5,3.967741935,4.555555556,4,3,4,4
2,4,4,4,4,4,4,4,4,3,2,3,2,2,4,3,2,4,3,4,2,3,3,3,2,5,5,3,4,5,3,3,4,5,2,4,3.35483871,4.333333333,3.333333333,2.428571429,2.75,3.2
2,4,4,4,4,5,5,5,5,5,1,4,1,1,2,5,5,5,5,5,5,5,1,5,2,5,5,5,5,5,5,5,5,5,5,5,4.258064516,5,5,3.142857143,3.25,3.6
1,5,5,5,5,5,5,5,5,5,1,5,1,1,1,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,4,5,4.193548387,5,4.833333333,3.285714286,3,3.4
2,2,1,3,2,2,2,3,1,2,3,2,4,3,4,3,2,3,2,1,3,2,3,3,4,2,2,3,2,3,2,3,2,1,3,3,2.516129032,2.111111111,2.833333333,2.571428571,2.75,2.8
1,4,4,4,4,2,4,3,4,3,3,4,3,2,2,3,4,4,3,4,4,5,2,3,2,3,4,3,4,3,4,3,4,3,4,4,3.322580645,3.222222222,3.666666667,3.142857143,3.25,3
2,2,3,2,2.333333333,5,5,5,5,5,1,4,1,5,5,4,5,4,5,5,4,5,2,3,4,4,4,4,5,5,4,4,2,3,2,2,3.903225806,4.333333333,3.5,3.714285714,3.75,4
2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,2,3,2,2.333333333,4,4,4,4,2,2,3,2,2,4,3,2,3,3,2,2,4,4,3,2,4,4,4,4,4,4,4,3,4,4,4,3.290322581,3.888888889,3.833333333,2.285714286,3.5,3
2,4,4,2,3.333333333,3,4,4,4,2,2,2,3,2,4,4,4,3,4,4,2,3,3,4,4,4,3,4,4,4,4,4,2,4,4,4,3.419354839,3.777777778,3.833333333,2.714285714,3.5,3.4
1,5,4,4,4.333333333,5,4,3,4,4,2,4,2,2,2,3,5,5,4,4,5,4,1,4,1,4,5,4,4,4,4,4,4,5,5,5,3.741935484,4.222222222,4.5,3.285714286,2.5,3
2,3,4,2,3,4,4,4,4,2,3,2,2,2,4,3,2,3,2,2,2,3,4,4,2,4,4,4,4,4,4,4,3,4,4,4,3.258064516,4,3.833333333,2.142857143,3.25,3
2,4,5,3,4,5,4,4,4,4,3,4,1,3,2,4,3,4,4,5,4,3,2,3,2,5,4,4,4,3,4,3,4,4,3,3,3.516129032,4,3.5,3.142857143,2.75,3.4
2,1,4,2,2.333333333,2,4,4,4,4,4,2,2,2,2,4,2,4,4,4,5,2,5,5,1,5,5,5,5,5,1,1,5,5,2,5,3.548387097,4.333333333,3.666666667,2.857142857,2.25,4
2,1,2,1,1.333333333,4,4,4,4,4,4,2,2,2,2,2,2,2,2,1,1,4,1,4,5,4,1,4,3,4,5,3,2,2,2,2,2.838709677,3.444444444,2.666666667,2.571428571,3.75,1.4
2,2,3,2,2.333333333,3,3,4,4,1,5,2,2,2,5,3,1,1,2,2,2,3,4,3,3,2,4,3,4,4,4,4,2,3,4,5,3.032258065,3.333333333,3.5,2.142857143,3.5,3.2
2,2,2,1,1.666666667,3,3,4,4,2,4,2,3,2,4,4,2,3,3,2,2,3,2,4,3,4,3,4,4,5,4,4,2,3,2,2,3.096774194,3.666666667,3.166666667,2.571428571,3,2.8
2,2,2,1,1.666666667,3,3,4,4,2,4,3,3,2,4,3,3,3,2,2,2,3,2,4,2,4,4,4,4,4,4,2,2,3,2,3,3.032258065,3.666666667,3,2.714285714,2.75,2.6
2,1,3,2,2,4,5,5,5,3,3,3,2,2,2,4,4,4,3,4,3,4,2,3,4,3,2,3,3,4,3,4,3,2,2,4,3.290322581,3.666666667,3.333333333,2.857142857,3.25,3
2,2,4,2,2.666666667,4,3,4,4,3,3,3,4,2,4,4,2,4,4,2,4,3,2,4,3,2,2,4,4,5,4,5,2,3,4,4,3.387096774,3.444444444,4.166666667,3,3,3.2
2,1,3,2,2,2,4,4,4,4,4,2,2,2,2,4,2,4,4,4,5,2,5,4,2,3,5,4,5,5,1,1,2,4,2,3,3.258064516,3.888888889,3.166666667,2.857142857,2.5,4
