Source,Target
Gemma Frisius,Jacques Pelletier du Mans
Gemma Frisius,Orazio Toscanella
Jacques Pelletier du Mans,Orazio Toscanella
Paolo Giovio,Leo X
Paolo Giovio,Hadrianus VI
Paolo Giovio,"Colonna, Pompeo"
Paolo Giovio,Zosimo I
Leo X,Hadrianus VI
Leo X,"Colonna, Pompeo"
Leo X,Zosimo I
Hadrianus VI,"Colonna, Pompeo"
Hadrianus VI,Zosimo I
"Colonna, Pompeo",Zosimo I
Adrianus VI,"Colonna, Pompeo"
Adrianus VI,Lodovico Domenichi
Adrianus VI,Paolo Giovio
Adrianus VI,Leo X
"Colonna, Pompeo",Lodovico Domenichi
"Colonna, Pompeo",Paolo Giovio
"Colonna, Pompeo",Leo X
Lodovico Domenichi,Paolo Giovio
Lodovico Domenichi,Leo X
Rodolphus Agricola,Orazio Toscanella
Nicolas Cleynaerts,"Guillon, René"
"Lipsius, Justus","Schoppe, Kaspar"
"Lipsius, Justus","Stapleton, Thomas"
"Schoppe, Kaspar","Stapleton, Thomas"
Pietro Lauro,Juan Luis Vives
Aristoteles.,Marcantonio Zimara
Aristoteles.,Averroes Cordubensis
Marcantonio Zimara,Averroes Cordubensis
Dominicus de Flandria,Paulus Barbus
Dominicus de Flandria,Giacomo Rossetti
Dominicus de Flandria,Aristoteles.
Dominicus de Flandria,Thomas Aquinas
Paulus Barbus,Giacomo Rossetti
Paulus Barbus,Aristoteles.
Paulus Barbus,Thomas Aquinas
Giacomo Rossetti,Aristoteles.
Giacomo Rossetti,Thomas Aquinas
Aristoteles.,Thomas Aquinas
"Latomus, Jacobus",Joannes Lensaeus
Gregorio Correr,"de Vargas Meija, Francisco"
"Bollanus, Domenicus",Sixtus V
Bernard of Clairvaux,"Comestor, Franciscus"
Bernard of Clairvaux,Louis de Rye
Bernard of Clairvaux,Gilbert of Hoyland
Bernard of Clairvaux,"Miraeus, Ludovicus"
"Comestor, Franciscus",Louis de Rye
"Comestor, Franciscus",Gilbert of Hoyland
"Comestor, Franciscus","Miraeus, Ludovicus"
Louis de Rye,Gilbert of Hoyland
Louis de Rye,"Miraeus, Ludovicus"
Gilbert of Hoyland,"Miraeus, Ludovicus"
Bernard of Clairvaux,"Vossius, Gerardus"
Sixtus III,Bracharius
Sixtus III,Gugliemo Sirleto
Sixtus III,"Solanius, Jacobus Salvator"
Bracharius,Gugliemo Sirleto
Bracharius,"Solanius, Jacobus Salvator"
Gugliemo Sirleto,"Solanius, Jacobus Salvator"
"de Valentia, Gregorius",Wilhelm V (der Fromme)
"Breznicius, Jacobus","Caballus, Marinus"
"Breznicius, Jacobus","Grittius, Nicoloaus"
"Breznicius, Jacobus",Maximos Margunios
"Breznicius, Jacobus",Bernardino Tomitano
"Caballus, Marinus","Grittius, Nicoloaus"
"Caballus, Marinus",Maximos Margunios
"Caballus, Marinus",Bernardino Tomitano
"Grittius, Nicoloaus",Maximos Margunios
"Grittius, Nicoloaus",Bernardino Tomitano
Maximos Margunios,Bernardino Tomitano
Plato,Aristoteles.
Plato,Averroes Cordubensis
Plato,"Donato, Joannes Bernardus"
Plato,Francesco Filelfo
Plato,Jacob Mantino ben Samuel
Plato,Francis Robortello
Aristoteles.,"Donato, Joannes Bernardus"
Aristoteles.,Francesco Filelfo
Aristoteles.,Jacob Mantino ben Samuel
Aristoteles.,Francis Robortello
Averroes Cordubensis,"Donato, Joannes Bernardus"
Averroes Cordubensis,Francesco Filelfo
Averroes Cordubensis,Jacob Mantino ben Samuel
Averroes Cordubensis,Francis Robortello
"Donato, Joannes Bernardus",Francesco Filelfo
"Donato, Joannes Bernardus",Jacob Mantino ben Samuel
"Donato, Joannes Bernardus",Francis Robortello
Francesco Filelfo,Jacob Mantino ben Samuel
Francesco Filelfo,Francis Robortello
Jacob Mantino ben Samuel,Francis Robortello
Aristoteles.,Bernardino Tomitano
Averroes Cordubensis,Bernardino Tomitano
"Lipsius, Justus",Erycius Puteanus
"Lipsius, Justus","Velascius, Ignicus"
Erycius Puteanus,"Velascius, Ignicus"
"Canta, Jacobus",Nicolas Cleynaerts
"Canta, Jacobus","Guillonius, Renatus"
Nicolas Cleynaerts,"Guillonius, Renatus"
Michelangelo Biondo,Guilelmus de Pastrengo.
"Gàmbara, Gianfrancesco",Lorenzo Gambara
Zoroaster,Hermes Trismegistus.
Zoroaster,Asclepius of Tralles
Zoroaster,Gregory XIII
Hermes Trismegistus.,Asclepius of Tralles
Hermes Trismegistus.,Gregory XIII
Asclepius of Tralles,Gregory XIII
Joannes Vitalis a Furno,Costanzo Torri
Joannes Vitalis a Furno,"Giunta, Bernardo"
Costanzo Torri,"Giunta, Bernardo"
Sixtus V,"Gonzaga, Francesco"
Thomas Aquinas,Aristoteles.
Thomas Aquinas,Dominicus de Flandria
Thomas Aquinas,Joannes Argyropulus Constantinopolitanus.
Aristoteles.,Dominicus de Flandria
Aristoteles.,Joannes Argyropulus Constantinopolitanus.
Dominicus de Flandria,Joannes Argyropulus Constantinopolitanus.
Bartholomaeus Albicius,"Anguissola, Lucius"
Bartholomaeus Albicius,"Bonus, Joannes franciscus"
Bartholomaeus Albicius,Geremia Bucchio
Bartholomaeus Albicius,"della Rovere, Girolamo"
"Anguissola, Lucius","Bonus, Joannes franciscus"
"Anguissola, Lucius",Geremia Bucchio
"Anguissola, Lucius","della Rovere, Girolamo"
"Bonus, Joannes franciscus",Geremia Bucchio
"Bonus, Joannes franciscus","della Rovere, Girolamo"
Geremia Bucchio,"della Rovere, Girolamo"
Nicolas Cleynaerts,"Antesignanus, Petrus"
Nicolas Cleynaerts,"Glorierius, Julius"
"Antesignanus, Petrus","Glorierius, Julius"
"Centurionus, Joannes Baptista","De Azpilcueta, Martinus"
"de' Medici, Cosimo I",Agnolo Guicciardini
"de' Medici, Cosimo I","Guicciardini, Francesco"
Agnolo Guicciardini,"Guicciardini, Francesco"
Sixtus V,"Antonianus, Sylvius"
Sixtus V,Giovanni Francesco Bordini
Sixtus V,"Frizolius, Laurentius"
Sixtus V,"Lapius, Thomas"
Sixtus V,"Mercatus, Michael."
"Antonianus, Sylvius",Giovanni Francesco Bordini
"Antonianus, Sylvius","Frizolius, Laurentius"
"Antonianus, Sylvius","Lapius, Thomas"
"Antonianus, Sylvius","Mercatus, Michael."
Giovanni Francesco Bordini,"Frizolius, Laurentius"
Giovanni Francesco Bordini,"Lapius, Thomas"
Giovanni Francesco Bordini,"Mercatus, Michael."
"Frizolius, Laurentius","Lapius, Thomas"
"Frizolius, Laurentius","Mercatus, Michael."
"Lapius, Thomas","Mercatus, Michael."
Olaus Magnus,"von Schaumburg, Adolf"
Aulus Cornelius Celsus.,Quintus Serenus
Aulus Cornelius Celsus.,Remmius Palaemon
Quintus Serenus,Remmius Palaemon
Martin of Braga,Adrianus Barlandus
Martin of Braga,"Schottenius, Herman"
Adrianus Barlandus,"Schottenius, Herman"
"Everardus, Nicolaus","Legge, Livio"
Innocent VIII,Jacobus de Luciis
Innocent VIII,Joannes Burckardus
Innocent VIII,Agostino Patrizi Piccolomini
Innocent VIII,Raphael Riarius
Jacobus de Luciis,Joannes Burckardus
Jacobus de Luciis,Agostino Patrizi Piccolomini
Jacobus de Luciis,Raphael Riarius
Joannes Burckardus,Agostino Patrizi Piccolomini
Joannes Burckardus,Raphael Riarius
Agostino Patrizi Piccolomini,Raphael Riarius
"Albertini, Francesco","Fulvio, Andrea"
"Albertini, Francesco",Leo X
"Albertini, Francesco",Giacomo Mazzocchi
"Albertini, Francesco","Volaterranus, Marius"
"Fulvio, Andrea",Leo X
"Fulvio, Andrea",Giacomo Mazzocchi
"Fulvio, Andrea","Volaterranus, Marius"
Leo X,Giacomo Mazzocchi
Leo X,"Volaterranus, Marius"
Giacomo Mazzocchi,"Volaterranus, Marius"
