Id,Label,timeset,degree,weighted degree,modularity_class
Gemma Frisius,Gemma Frisius,,2,2,0
Jacques Pelletier du Mans,Jacques Pelletier du Mans,,2,2,0
Orazio Toscanella,Orazio Toscanella,,9,10,0
Paolo Giovio,Paolo Giovio,,9,10,40
Leo X,Leo X,,23,24,1
Hadrianus VI,Hadrianus VI,,4,4,40
"Colonna, Pompeo","Colonna, Pompeo",,7,9,40
Zosimo I,Zosimo I,,4,4,40
Adrianus VI,Adrianus VI,,19,19,40
Lodovico Domenichi,Lodovico Domenichi,,7,7,40
Rodolphus Agricola,Rodolphus Agricola,,1,1,0
Nicolas Cleynaerts,Nicolas Cleynaerts,,12,13,2
"Guillon, René","Guillon, René",,1,1,2
"Lipsius, Justus","Lipsius, Justus",,6,6,27
"Schoppe, Kaspar","Schoppe, Kaspar",,2,2,27
"Stapleton, Thomas","Stapleton, Thomas",,2,2,27
Pietro Lauro,Pietro Lauro,,3,3,117
Juan Luis Vives,Juan Luis Vives,,11,12,0
Aristoteles.,Aristoteles.,,53,55,1
Marcantonio Zimara,Marcantonio Zimara,,10,11,2
Averroes Cordubensis,Averroes Cordubensis,,14,15,2
Dominicus de Flandria,Dominicus de Flandria,,7,9,2
Paulus Barbus,Paulus Barbus,,4,4,2
Giacomo Rossetti,Giacomo Rossetti,,4,4,2
Thomas Aquinas,Thomas Aquinas,,40,42,1
"Latomus, Jacobus","Latomus, Jacobus",,1,1,1
Joannes Lensaeus,Joannes Lensaeus,,1,1,1
Gregorio Correr,Gregorio Correr,,1,1,70
"de Vargas Meija, Francisco","de Vargas Meija, Francisco",,2,2,70
"Bollanus, Domenicus","Bollanus, Domenicus",,1,1,4
Sixtus V,Sixtus V,,110,117,2
Bernard of Clairvaux,Bernard of Clairvaux,,16,16,100
"Comestor, Franciscus","Comestor, Franciscus",,4,4,100
Louis de Rye,Louis de Rye,,4,4,100
Gilbert of Hoyland,Gilbert of Hoyland,,4,4,100
"Miraeus, Ludovicus","Miraeus, Ludovicus",,4,4,100
"Vossius, Gerardus","Vossius, Gerardus",,1,1,100
Sixtus III,Sixtus III,,3,3,2
Bracharius,Bracharius,,3,3,2
Gugliemo Sirleto,Gugliemo Sirleto,,6,6,2
"Solanius, Jacobus Salvator","Solanius, Jacobus Salvator",,3,3,2
"de Valentia, Gregorius","de Valentia, Gregorius",,4,4,105
Wilhelm V (der Fromme),Wilhelm V (der Fromme),,1,1,105
"Breznicius, Jacobus","Breznicius, Jacobus",,4,4,2
"Caballus, Marinus","Caballus, Marinus",,4,4,2
"Grittius, Nicoloaus","Grittius, Nicoloaus",,4,4,2
Maximos Margunios,Maximos Margunios,,4,4,2
Bernardino Tomitano,Bernardino Tomitano,,6,6,2
Plato,Plato,,7,7,2
"Donato, Joannes Bernardus","Donato, Joannes Bernardus",,6,6,2
